file_name,approach,batch_size,datasets,lr,nepochs,alpha,kd_temperature,kd_weight,lamb,num_exemplars,TAw_Acc_last_avg,TAg_Acc_last_avg,TAw_Forg_last_avg,TAg_Forg_last_avg
KD_EWC_nt5_ft50_lamb2000_alpha0.7_kdW1.0_kdT4.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,4.0,1.0,2000.0,5000,26.4,8.9,53.4,47.9
KD_EWC_nt5_ft20_lamb200_alpha0.5_kdW2.0_kdT3.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,3.0,2.0,200.0,5000,17.6,7.0,44.5,32.9
KD_EWC_nt5_ft50_lamb2000_alpha0.3_kdW3.0_kdT4.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,4.0,3.0,2000.0,5000,21.6,3.9,44.7,29.3
KD_EWC_nt5_ft50_lamb2000_alpha0.5_kdW1.0_kdT2.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,2.0,1.0,2000.0,2000,26.9,7.9,52.0,41.8
KD_EWC_nt5_ft20_lamb200_alpha0.7_kdW2.0_kdT5.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,5.0,2.0,200.0,2000,18.3,8.8,46.7,36.2
KD_EWC_nt5_ft50_lamb500_alpha0.3_kdW0.5_kdT5.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,5.0,0.5,500.0,2000,28.2,11.8,53.4,54.4
KD_EWC_nt5_ft20_lamb200_alpha0.3_kdW0.5_kdT2.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,2.0,0.5,200.0,2000,22.3,11.3,54.0,50.8
KD_EWC_nt5_ft50_lamb500_alpha0.7_kdW2.0_kdT2.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,2.0,2.0,500.0,2000,20.9,3.8,52.1,33.1
KD_EWC_nt5_ft20_lamb2000_alpha0.5_kdW3.0_kdT5.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,5.0,3.0,2000.0,2000,15.4,5.8,32.6,25.8
KD_EWC_nt5_ft20_lamb2000_alpha0.3_kdW1.0_kdT3.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,3.0,1.0,2000.0,5000,20.0,8.3,45.1,41.5
KD_EWC_nt5_ft50_lamb500_alpha0.5_kdW2.0_kdT4.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,4.0,2.0,500.0,5000,21.9,6.2,54.3,37.3
KD_EWC_nt5_ft50_lamb200_alpha0.5_kdW2.0_kdT3.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,3.0,2.0,200.0,2000,21.0,4.0,53.0,34.1
KD_EWC_nt5_ft20_lamb3000_alpha0.5_kdW3.0_kdT5.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,5.0,3.0,3000.0,5000,14.5,4.2,30.9,25.1
KD_EWC_nt5_ft20_lamb3000_alpha0.3_kdW1.0_kdT3.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,3.0,1.0,3000.0,2000,20.3,9.0,40.6,38.9
