folder,exp_name,approach,datasets,num_tasks,nc_first_task,scenario,seed,batch_size,clipping,exemplar_selection,lamb,T,alpha,beta,gamma,damping,fim_num_samples,fim_sampling_type,lr,lr_factor,network,nepochs,final_avg_acc_taw,final_avg_acc_tag,final_avg_taw_forg,final_avg_tag_forg
cifar100_icarl_ewc_ewc_5_40_15_lamb_1000_seed0,ewc_5_40_15_lamb_1000_seed0,ewc,cifar100_icarl,5,40,(5/40-15),0,128,10000,herding,1000,,0.5,,,,,,0.1,3,resnet32,50,46.3,46.3,46.3,46.3
cifar100_icarl_lwf_lwf_3_33_34_lamb_5_T_2_seed0,lwf_3_33_34_lamb_5_T_2_seed0,lwf,cifar100_icarl,3,33,(3/33-34),0,128,10000,herding,5,2,,,,,,,0.1,3,resnet32,50,38.1,38.1,38.1,38.1
cifar100_icarl_ewc_ewc_4_25_lamb_2000_seed0,ewc_4_25_lamb_2000_seed0,ewc,cifar100_icarl,4,25,(4/25),0,128,10000,herding,2000,,0.5,,,,,,0.1,3,resnet32,50,47.1,47.1,47.1,47.1
cifar100_icarl_ewc_ewc_5_40_15_lamb_10_seed0,ewc_5_40_15_lamb_10_seed0,ewc,cifar100_icarl,5,40,(5/40-15),0,128,10000,herding,10,,0.5,,,,,,0.1,3,resnet32,50,46.9,46.9,46.9,46.9
cifar100_icarl_mas_mas_5_20_lamb_500_seed0,mas_5_20_lamb_500_seed0,mas,cifar100_icarl,5,20,(5/20),0,128,10000,herding,500,,0.5,,,,,,0.1,3,resnet32,50,36.9,36.9,36.9,36.9
cifar100_icarl_mas_mas_2_50_lamb_3_seed0,mas_2_50_lamb_3_seed0,mas,cifar100_icarl,2,50,(2/50),0,128,10000,herding,3,,0.5,,,,,,0.1,3,resnet32,50,39.7,39.7,39.7,39.7
cifar100_icarl_lwf_lwf_3_33_34_lamb_3_T_4_seed0,lwf_3_33_34_lamb_3_T_4_seed0,lwf,cifar100_icarl,3,33,(3/33-34),0,128,10000,herding,3,4,,,,,,,0.1,3,resnet32,50,41.2,41.2,41.2,41.2
cifar100_icarl_lwm_lwm_5_40_15_beta_3_gamma_5_seed0,lwm_5_40_15_beta_3_gamma_5_seed0,lwm,cifar100_icarl,5,40,(5/40-15),0,128,10000,herding,,,,3,5,,,,0.1,3,resnet32,50,43.9,43.9,43.9,43.9
cifar100_icarl_mas_mas_5_40_15_lamb_0.5_seed0,mas_5_40_15_lamb_0.5_seed0,mas,cifar100_icarl,5,40,(5/40-15),0,128,10000,herding,0.5,,0.5,,,,,,0.1,3,resnet32,50,47.8,47.8,47.8,47.8
cifar100_icarl_lwf_lwf_5_20_lamb_3_T_4_seed0,lwf_5_20_lamb_3_T_4_seed0,lwf,cifar100_icarl,5,20,(5/20),0,128,10000,herding,3,4,,,,,,,0.1,3,resnet32,50,48.6,48.6,48.6,48.6
cifar100_icarl_ewc_ewc_5_20_lamb_0.5_seed0,ewc_5_20_lamb_0.5_seed0,ewc,cifar100_icarl,5,20,(5/20),0,128,10000,herding,0.5,,0.5,,,,,,0.1,3,resnet32,50,48.8,48.8,48.8,48.8
cifar100_icarl_lwf_lwf_2_50_lamb_2_T_2_seed0,lwf_2_50_lamb_2_T_2_seed0,lwf,cifar100_icarl,2,50,(2/50),0,128,10000,herding,2,2,,,,,,,0.1,3,resnet32,50,40.1,40.1,40.1,40.1
cifar100_icarl_mas_mas_5_20_lamb_3_seed0,mas_5_20_lamb_3_seed0,mas,cifar100_icarl,5,20,(5/20),0,128,10000,herding,3,,0.5,,,,,,0.1,3,resnet32,50,48.4,48.4,48.4,48.4
cifar100_icarl_lwm_lwm_5_20_beta_1_gamma_10_seed0,lwm_5_20_beta_1_gamma_10_seed0,lwm,cifar100_icarl,5,20,(5/20),0,128,10000,herding,,,,1,10,,,,0.1,3,resnet32,50,46.3,46.3,46.3,46.3
cifar100_icarl_ewc_ewc_5_40_15_lamb_500_seed0,ewc_5_40_15_lamb_500_seed0,ewc,cifar100_icarl,5,40,(5/40-15),0,128,10000,herding,500,,0.5,,,,,,0.1,3,resnet32,50,45.4,45.4,45.4,45.4
cifar100_icarl_lwf_lwf_5_40_15_lamb_1_T_5_seed0,lwf_5_40_15_lamb_1_T_5_seed0,lwf,cifar100_icarl,5,40,(5/40-15),0,128,10000,herding,1,5,,,,,,,0.1,3,resnet32,50,46.2,46.2,46.2,46.2
cifar100_icarl_ewc_ewc_4_25_lamb_10_seed0,ewc_4_25_lamb_10_seed0,ewc,cifar100_icarl,4,25,(4/25),0,128,10000,herding,10,,0.5,,,,,,0.1,3,resnet32,50,48.2,48.2,48.2,48.2
